numeropol;freq_paiement;langue;type_prof;alimentation;type_territoire;utilisation;presence_alarme;marque_voiture;sexe;nbsin;exposition;cout;age;duree_permis
1;mensuel;F;Technicien;Végétarien;Urbain;Travail-quotidien;non;VOLKSWAGEN;F;0;0.610958904;0;29;10
2;mensuel;F;Technicien;Végétarien;Urbain;Travail-quotidien;non;VOLKSWAGEN;F;0;0.663013699;0;30;11
3;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;1;0.994520548;279.58;42;21
4;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.873972603;0;43;22
5;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.043835616;0;44;23
6;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.073972603;0;44;23
7;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.98630137;0;44;23
8;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.997260274;0;45;24
9;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;1;0;46;25
10;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.997260274;0;47;26
11;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.621917808;0;48;27
12;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;M;0;0.37260274;0;48;27
13;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;M;0;1;0;50;29
14;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;0;1;0;49;20
15;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;0;0.997260274;0;50;21
16;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;1;0.243835616;814.17;51;22
17;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;0;0.564383562;0;51;22
18;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.183561644;0;52;23
19;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;52;23
20;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;1;1;136.86;53;24
21;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;54;25
22;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;1;0;56;21
23;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.997260274;0;57;22
24;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.997260274;0;58;23
25;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.997260274;0;59;24
26;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.991780822;0;61;26
27;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.991780822;0;61;26
28;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.479452055;0;62;27
29;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.997260274;0;58;36
30;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.945205479;0;62;40
31;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.049315068;0;63;41
32;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.997260274;0;63;41
33;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.767123288;0;64;42
34;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;1;0;65;43
35;annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.432876712;0;34;13
36;annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.561643836;0;34;13
37;annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;1;0;35;14
38;annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.6;0;36;15
39;mensuel;F;Médecin;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;0;0.460273973;0;28;10
40;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;0;0.306849315;0;51;20
41;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;0;0.021917808;0;52;21
42;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;0;0.221917808;0;52;21
43;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;PEUGEOT;M;0;0.424657534;0;40;22
44;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;FORD;M;0;0.843835616;0;60;31
45;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;RENAULT;F;0;0.997260274;0;40;19
46;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;0;0.854794521;0;41;20
47;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;1;1;608.73;42;21
48;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;FORD;F;0;0.997260274;0;43;22
49;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;1;0.997260274;18687.43;44;23
50;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;0;0.997260274;0;45;24
51;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;0;1;0;46;25
52;mensuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;43;14
53;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;0;1;0;44;15
54;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;45;16
55;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;46;17
56;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;1;0.98630137;349.71;47;18
57;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.997260274;0;50;21
58;mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.997260274;0;51;22
59;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;1;0.747945205;279.15;37;16
60;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.249315068;0;38;17
61;mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-quotidien;oui;PEUGEOT;F;0;0.55890411;0;29;8
62;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;PEUGEOT;F;0;0.150684932;0;30;9
63;annuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;39;20
64;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.205479452;0;41;22
